Teams,Winrate,Years Participated,Blue Banners
1,0.5238,26,0
4,0.4074,17,0
8,0.5625,27,0
11,0.5517,26,0
16,0.7619,26,1
20,0.7333,26,0
21,0.3077,25,0
25,0.6136,26,0
27,0.8587,26,5
28,0.5208,27,0
31,0.375,26,0
33,0.8056,27,4
34,0.3182,26,0
41,0.6385,26,0
45,0.3864,31,0
48,0.4737,25,0
51,0.4417,13,0
56,0.5349,26,0
58,0.5532,27,0
59,0.6132,24,2
60,0.55,26,0
61,0.3421,26,1
63,0.4,26,0
66,0.3333,25,0
67,0.7388,26,1
68,0.3966,25,0
69,0.5806,27,0
70,0.6719,25,0
71,0.375,27,0
74,0.5778,28,0
75,0.5745,26,1
78,0.6136,13,0
79,0.2143,25,0
85,0.65,27,0
86,0.641,25,1
88,0.6582,27,1
93,0.5,26,0
94,0.375,25,0
95,0.7818,26,0
97,0.375,26,0
100,0.4375,26,0
101,0.15,26,0
102,0.4651,25,1
103,0.5612,26,0
107,0.6349,26,1
108,0.4615,28,0
111,0.8936,28,2
112,0.625,6,0
114,0.7015,26,1
115,0.439,25,0
116,0.4524,27,1
117,0.5,25,0
118,0.8125,26,2
120,0.4062,27,0
121,0.5769,27,0
122,0.5109,26,0
123,0.4423,26,0
125,0.7786,25,2
126,0.6064,31,0
128,0.6,25,0
131,0.6538,29,0
133,0.7909,26,1
135,0.425,25,1
138,0.5469,26,0
141,0.4405,28,0
144,0.5769,22,0
145,0.3,25,0
148,0.8067,30,4
151,0.5667,29,0
155,0.587,29,0
156,0.4545,12,0
157,0.4286,29,0
159,0.4,24,0
166,0.4643,28,1
167,0.6071,24,0
171,0.2727,27,0
172,0.5476,25,0
173,0.5417,28,0
175,0.4889,27,0
176,0.9155,27,4
177,0.7687,28,3
178,0.3125,26,0
179,0.8889,25,3
180,0.814,25,1
181,0.4231,25,0
190,0.4,29,0
191,0.5417,31,0
192,0.375,26,0
193,0.5172,10,0
195,0.6769,25,1
199,0.5,8,0
201,0.6311,24,2
203,0.4625,25,0
204,0.3125,24,0
216,0.4455,14,0
217,0.3571,24,0
219,0.4767,24,0
222,0.5778,24,1
223,0.4634,24,0
226,0.4405,24,2
228,0.63,24,0
229,0.35,24,0
230,0.85,24,2
231,0.6304,24,1
233,0.4231,24,0
234,0.5612,24,0
236,0.5625,24,0
237,0.5319,24,0
238,0.8364,23,3
240,0.4314,24,1
244,0.459,12,0
245,0.5645,24,1
246,0.4583,24,0
247,0.4643,24,0
250,0.2,24,0
253,0.4286,24,0
254,0.9018,24,4
263,0.4359,23,0
271,0.5,24,0
272,0.4831,24,0
280,0.3077,24,0
281,0.4231,24,0
287,0.5909,21,0
288,0.6,24,0
291,0.2727,24,0
292,0.6087,24,0
293,0.3256,24,0
294,0.4815,24,0
296,0.4762,24,0
299,0.35,7,0
302,0.5658,24,2
303,0.4118,24,0
308,0.5938,24,0
313,0.4615,24,0
